sector,cohort,historical_ticker,provider_symbol,provider_asset_id,company_name,provider_industry,first_quoted_date,provider_last_quoted_date,expected_terminal_type,expected_event_date,expected_counterparty,successor_ticker,candidate_tier,review_status,event_reconciliation_status,pit_membership_status,terminal_value_status,include_in_historical_universe,calibration_eligible,discovery_source,event_source_url,selection_rationale,notes
Basic Materials,precious_metals_producers,SWC,SWC-201705,146700,Stillwater Mining Co,Precious Metals & Minerals,1994-12-16,2017-05-03,cash_acquisition,,Sibanye Gold,SBSW,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Primary PGM producer history diversifies metal exposure,
Basic Materials,precious_metals_producers,TAHO,TAHO-201902,517746,Tahoe Resources Inc,Gold,2010-07-27,2019-02-21,mixed_acquisition,,Pan American Silver,PAAS,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Silver and gold producer with jurisdiction and operating-risk history,
Basic Materials,precious_metals_producers,RIC,RIC-201711,131897,Richmont Mines Inc,Gold,1997-03-06,2017-11-22,stock_acquisition,,Alamos Gold,AGI,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Mid-cap producer history adds breadth to the cohort,
Basic Materials,precious_metals_producers,AUQ,AUQ-201507,138650,AuRico Gold Inc,Gold,2003-09-04,2015-07-02,stock_merger,,Alamos Gold,AGI,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Mid-cycle merger case with a long producer price history,
Basic Materials,precious_metals_producers,GSS,GSS-202201,145593,Golden Star Resources Ltd,Gold,1993-09-01,2022-01-27,cash_acquisition,,Chifeng Jilong Gold Mining,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Smaller producer adds operating and jurisdictional dispersion,
Basic Materials,precious_metals_producers,PVG,PVG-202203,539899,Pretium Resources Inc,Gold,2011-01-20,2022-03-08,mixed_acquisition,,Newcrest Mining,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Single-asset producer adds concentration-risk variation,
Basic Materials,precious_metals_producers,KLDX,KLDX-201807,293312,Klondex Mines Ltd,Gold,2007-08-09,2018-07-20,mixed_acquisition,,Hecla Mining,HL,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Smaller underground producer broadens operating-cost outcomes,
Basic Materials,precious_metals_producers,GATO,GATO-202501,2741954,Gatos Silver Inc,Silver,2020-10-28,2025-01-15,stock_acquisition,2025-01-16,First Majestic Silver,AG,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1308648/000106299325000816/exhibit99-1.htm,Recent silver producer exit with clean source and provider coverage,
Basic Materials,precious_metals_producers,ANV,ANVGQ-201510,277023,Allied Nevada Gold Corp,Gold,2007-05-10,2015-10-21,bankruptcy_reorganization,2015-03-10,Chapter 11 creditors,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1376610/000119312515084300/d889389d8k.htm,Left-tail distress case with real mine operations and impaired old equity,Historical listed ticker ANV then OTC ticker ANVGQ; alias and old-equity treatment require review
Basic Materials,industrial_metals_mining,ACO,ACO-201405,144759,AMCOL International Corp,Diversified Metals & Mining,1990-01-02,2014-05-09,cash_acquisition,,Minerals Technologies,MTX,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Industrial minerals analogue with a long public history,
Basic Materials,industrial_metals_mining,RTI,RTI-201507,135404,RTI International Metals Inc,Diversified Metals & Mining,1990-04-12,2015-07-22,stock_acquisition,,Alcoa,AA,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Titanium and engineered-metals history relevant to MTRN,
Basic Materials,industrial_metals_mining,TIE,TIE-201301,138398,Titanium Metals Corp,Diversified Metals & Mining,1996-06-05,2013-01-07,cash_acquisition,,Precision Castparts,PCP,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Titanium-cycle history and a nested successor-chain case,
Basic Materials,industrial_metals_mining,TRQ,TRQ-202212,146008,Turquoise Hill Resources Ltd,Diversified Metals & Mining,2003-05-01,2022-12-15,cash_acquisition,,Rio Tinto,RIO,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Large copper-development and operating history with project concentration,
Basic Materials,industrial_metals_mining,PLM,PLM-202311,142254,PolyMet Mining Corp,Diversified Metals & Mining,2000-10-12,2023-11-06,cash_acquisition,,Glencore,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Long-duration mine-development case with permitting risk,
Basic Materials,industrial_metals_mining,MCP,MCPIQ-201608,509303,Molycorp Inc,Diversified Metals & Mining,2010-07-29,2016-08-31,bankruptcy_reorganization,2015-06-25,Chapter 11 creditors,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1489137/000148913715000065/mcp630201510q.htm,Essential rare-earth left-tail failure case,Historical listed ticker MCP then OTC MCPIQ; do not infer a direct equity successor from later Mountain Pass ownership
Basic Materials,industrial_metals_mining,GMO,GMOLQ-202107,155750,General Moly Inc,Diversified Metals & Mining,2004-06-09,2021-07-06,bankruptcy_reorganization,2020-11-18,Chapter 11 creditors,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1275229/000165495420012741/gmo_8k.htm,Pre-production molybdenum failure adds lifecycle and financing risk,Historical listed ticker GMO then OTC GMOLQ
Basic Materials,industrial_metals_mining,ZINC,ZINCQ-201609,293440,Horsehead Holding Corp,Diversified Metals & Mining,2007-08-10,2016-09-30,bankruptcy_reorganization,,Chapter 11 creditors,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1385544/000119312516725717/d245042d10q.htm,Zinc producer and recycler adds operational-ramp failure risk,Historical listed ticker ZINC then OTC ZINCQ
Basic Materials,industrial_metals_mining,TC,TCPTF-201610,207486,Thompson Creek Metals Company Inc,Diversified Metals & Mining,2005-04-27,2016-10-21,stock_acquisition,,Centerra Gold,CGAU,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Molybdenum and copper-gold operating history across commodity cycles,Historical listed ticker TC then OTC TCPTF
Basic Materials,industrial_metals_mining,ALTM,ALTM-202503,3463459,Arcadium Lithium PLC,Specialty Chemicals,2024-01-04,2025-03-05,cash_acquisition,2025-03-06,Rio Tinto,RIO,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1977303/000095010325003078/dp225911_8k.htm,Recent lithium producer and processor exit relevant to ALB and LAR,Short standalone history requires predecessor lineage before calibration
Basic Materials,industrial_metals_mining,BRSS,BRSS-201907,783074,Global Brass and Copper Holdings Inc,Diversified Metals & Mining,2013-05-23,2019-07-15,cash_acquisition,,Wieland-Werke,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Fabricated copper-alloy analogue with industrial demand sensitivity,
Basic Materials,commodity_chemicals,AXLL,AXLL-201608,128621,Axiall Corp,Commodity Chemicals,1990-01-02,2016-08-30,cash_acquisition,,Westlake Chemical,WLK,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Direct chlor-alkali and vinyls analogue with a long cycle history,Historical lineage includes Georgia Gulf and ticker GGC
Basic Materials,commodity_chemicals,TPCG,TPCG-201212,304376,TPC Group Inc,Commodity Chemicals,2004-06-07,2012-12-20,cash_acquisition,,First Reserve and SK Capital,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Petrochemical feedstock-sensitive history,
Basic Materials,commodity_chemicals,SEH,SEH-201303,136224,Spartech Corp,Commodity Chemicals,1990-01-02,2013-03-12,cash_and_stock_acquisition,,PolyOne,AVNT,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Commodity and specialty polymer-sheet history with a successor chain,
Basic Materials,commodity_chemicals,TREC,TREC-202206,212733,Trecora Resources LLC,Commodity Chemicals,1990-01-02,2022-06-24,cash_acquisition,,Balmoral Funds,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Small-cap petrochemical analogue with margin volatility,
Basic Materials,commodity_chemicals,DTRX,DTRX-201712,139494,Detrex Corp,Commodity Chemicals,1990-01-02,2017-12-05,cash_acquisition,,Italmatch Chemicals,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Smaller specialty and commodity chemical history,
Basic Materials,commodity_chemicals,BIOA,BIOAQ-201911,780768,BioAmber Inc,Commodity Chemicals,2013-05-10,2019-11-21,bankruptcy_liquidation,2018-10-22,LCY Biotechnology,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1534287/000119312518309191/d645901dex991.htm,Left-tail bio-based chemical failure and liquidation case,Historical listed ticker BIOA then OTC BIOAQ; asset sale is not automatically the old equity terminal value
Basic Materials,commodity_chemicals,CCC,CCC-201803,127809,Calgon Carbon Corp,Commodity Chemicals,1990-01-02,2018-03-08,cash_acquisition,,Kuraray,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Activated-carbon history provides differentiated commodity input exposure,
Basic Materials,building_materials,TXI,TXI-201407,147787,Texas Industries Inc,Construction Materials,1990-01-02,2014-07-01,stock_acquisition,,Martin Marietta Materials,MLM,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Cement and aggregates history with a direct current-cohort successor,
Basic Materials,building_materials,HW,HW-201705,135127,Headwaters Inc,Construction Materials,1996-05-30,2017-05-05,cash_acquisition,,Boral Limited,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Construction products and fly-ash history across housing cycles,
Basic Materials,building_materials,FRTA,FRTA-202203,2215021,Forterra Inc,Construction Materials,2016-10-20,2022-03-17,cash_acquisition,,Quikrete Holdings,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Drainage pipe and precast-products analogue with infrastructure exposure,
Basic Materials,building_materials,USCR,USCR-202108,521035,US Concrete Inc,Construction Materials,2010-10-15,2021-08-25,cash_acquisition,,Vulcan Materials,VMC,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Ready-mix and aggregates history with a current-cohort acquirer,
Basic Materials,building_materials,SUM,SUM-202502,2005949,Summit Materials Inc,Construction Materials,2015-03-12,2025-02-10,cash_acquisition,,Quikrete Holdings,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Recent aggregates and cement exit with broad U.S. operating exposure,
Basic Materials,building_materials,GCP,GCP-202209,2131939,GCP Applied Technologies Inc,Specialty Chemicals,2016-01-26,2022-09-26,cash_acquisition,,Saint-Gobain,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Construction chemicals and admixtures fit the economic building-materials cohort,Cohort assignment intentionally differs from provider GICS industry
Basic Materials,building_materials,USG,USG-201904,135291,USG Corp,Building Products,1990-01-02,2019-04-23,cash_acquisition,,Gebr Knauf KG,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Wallboard and ceilings history captures housing and nonresidential cycles,
Basic Materials,building_materials,CBPX,CBPX-202001,933161,Continental Building Products Inc,Building Products,2014-02-05,2020-01-31,cash_acquisition,,Saint-Gobain,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Pure-play gypsum wallboard analogue,
Basic Materials,building_materials,CNR,CNR-202207,125418,Cornerstone Building Brands Inc,Building Products,1992-04-03,2022-07-22,cash_acquisition,,Clayton Dubilier & Rice,,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Building-envelope products add repair and remodel exposure,CNR is ticker-reused; provider asset ID and suffix are mandatory
Basic Materials,building_materials,DOOR,DOOR-202405,546119,Masonite International Corp,Building Products,2009-07-24,2024-05-14,cash_acquisition,,Owens Corning,OC,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Recent doors and building-products exit with a listed successor,
Basic Materials,agricultural_inputs_crop_science,MON,MON-201806,140727,Monsanto Co,Fertilizers & Agricultural Chemicals,2000-10-18,2018-06-06,cash_acquisition,,Bayer AG,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Core crop-science and seed analogue with a long public history,
Basic Materials,agricultural_inputs_crop_science,POT,POT-201712,147210,Potash Corporation of Saskatchewan Inc,Fertilizers & Agricultural Chemicals,1990-01-02,2017-12-29,stock_merger,,Agrium,NTR,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Long potash-cycle history and direct predecessor to Nutrien,
Basic Materials,agricultural_inputs_crop_science,AGU,AGU-201712,141024,Agrium Inc,Fertilizers & Agricultural Chemicals,1995-05-05,2017-12-29,stock_merger,,PotashCorp,NTR,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Fertilizer production and retail history and direct predecessor to Nutrien,
Basic Materials,agricultural_inputs_crop_science,TRA,TRA-201004,140527,Terra Industries Inc,Fertilizers & Agricultural Chemicals,1990-01-02,2010-04-15,cash_and_stock_acquisition,,CF Industries,CF,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Earlier nitrogen-cycle history and direct current-cohort successor,
Basic Materials,agricultural_inputs_crop_science,TNH,TNH-201803,136903,Terra Nitrogen Company LP,Fertilizers & Agricultural Chemicals,1991-11-26,2018-03-29,cash_acquisition,,CF Industries,CF,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Long nitrogen economics history and partnership-distribution case,Partnership structure requires separate payout and tax-treatment review
Basic Materials,agricultural_inputs_crop_science,RNF,RNF-201603,585822,Rentech Nitrogen Partners LP,Fertilizers & Agricultural Chemicals,2011-11-04,2016-03-31,cash_and_unit_acquisition,,CVR Partners,UAN,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Nitrogen partnership adds highly cyclical and leveraged operating history,Partnership structure requires separate payout and tax-treatment review
Basic Materials,agricultural_inputs_crop_science,SYT,SYT-201801,138834,Syngenta AG ADR,Fertilizers & Agricultural Chemicals,2000-11-13,2018-01-05,cash_acquisition,,China National Chemical Corp,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Global crop-protection and seed analogue with ADR reporting considerations,
Basic Materials,agricultural_inputs_crop_science,MBII,MBII-202207,816824,Marrone Bio Innovations Inc,Fertilizers & Agricultural Chemicals,2013-08-02,2022-07-12,stock_acquisition,,Bioceres Crop Solutions,BIOX,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Biological crop-input analogue adds growth and financing-risk variation,
