event_key,historical_ticker,provider_symbol,provider_asset_id,event_type,economic_event_date,last_trade_date,provider_last_quoted_date,terminal_type,cash_consideration,cash_currency,successor_ticker,successor_share_ratio,successor_security_type,successor_reference_date,successor_price_source_id,successor_provider_symbol,fixed_terminal_value,terminal_value_method,survivorship_complete,calibration_eligible,reconciliation_status,source_id,primary_source_url,secondary_source_url,source_document_date,evidence_label,reviewed,review_status,reviewed_on,notes
terminal_MCP_20150625,MCP,MCPIQ-201608,509303,bankruptcy_reorganization,2015-06-25,2016-08-31,2016-08-31,bankruptcy_reorganization,,,,,,,,,,bankruptcy_distribution_pending,0,0,bankruptcy_distribution_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1489137/000148913715000065/mcp630201510q.htm,,2015-08-07,primary_sec,1,approved_stage2b_pilot,2026-09-05,Do not infer successor equity from asset ownership
terminal_GMO_20201118,GMO,GMOLQ-202107,155750,bankruptcy_reorganization,2020-11-18,2021-07-06,2021-07-06,bankruptcy_reorganization,,,,,,,,,,bankruptcy_distribution_pending,0,0,bankruptcy_distribution_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1275229/000165495420012741/gmo_8k.htm,,2020-11-20,primary_sec,1,approved_stage2b_pilot,2026-09-05,Do not encode zero until distribution is verified
terminal_ALTM_20250306,ALTM,ALTM-202503,3463459,cash_acquisition,2025-03-06,2025-03-05,2025-03-05,cash_acquisition,5.85,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1977303/000095010325003078/dp225911_8k.htm,,2025-03-06,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_BIOA_20181022,BIOA,BIOAQ-201911,780768,bankruptcy_liquidation,2018-10-22,2019-11-21,2019-11-21,bankruptcy_liquidation,,,,,,,,,,bankruptcy_distribution_pending,0,0,bankruptcy_distribution_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1534287/000119312518309191/d645901dex991.htm,,2018-10-22,primary_sec,1,approved_stage2b_pilot,2026-09-05,Asset sale proceeds are not assumed to accrue to old equity
terminal_AXLL_20160831,AXLL,AXLL-201608,128621,cash_acquisition,2016-08-31,2016-08-30,2016-08-30,cash_acquisition,33,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1262823/000119312516697969/d249886dex991.htm,,2016-08-31,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_SUM_20250211,SUM,SUM-202502,2005949,cash_acquisition,2025-02-11,2025-02-10,2025-02-10,cash_acquisition,52.50,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1621563/000095010325001807/dp224739_8k.htm,,2025-02-11,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_USCR_20210826,USCR,USCR-202108,521035,cash_acquisition,2021-08-26,2021-08-25,2021-08-25,cash_acquisition,74,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1396009/000119312521257687/d208105d8k.htm,,2021-08-26,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_MON_20180607,MON,MON-201806,140727,cash_acquisition,2018-06-07,2018-06-06,2018-06-06,cash_acquisition,128,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1110783/000119312518186836/d602943dex991.htm,,2018-06-07,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_POT_20180101,POT,POT-201712,147210,stock_merger,2018-01-01,2017-12-29,2017-12-29,stock_merger,,,NTR,0.40,Common Stock,2018-01-02,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1725964/000119312518000244/d513937dex995.htm,,2018-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Requires Nutrien reference price
terminal_AGU_20180101,AGU,AGU-201712,141024,stock_merger,2018-01-01,2017-12-29,2017-12-29,stock_merger,,,NTR,2.23,Common Stock,2018-01-02,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1725964/000119312518000244/d513937dex995.htm,,2018-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Requires Nutrien reference price
