event_key,canonical_ticker,historical_ticker,provider_symbol,provider_asset_id,event_type,event_date,last_trade_date,old_value,new_value,counterparty,successor_ticker,terminal_type,is_terminal_event,source_id,source_url,source_document_date,evidence_label,reviewed,review_status,reviewed_on,notes
terminal_MCP_20150625,MCP,MCP,MCPIQ-201608,509303,bankruptcy_reorganization,2015-06-25,2016-08-31,MCP,bankruptcy distribution,Chapter 11 creditors,,bankruptcy_reorganization,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1489137/000148913715000065/mcp630201510q.htm,2015-08-07,primary_sec,1,approved_stage2b_pilot,2026-09-05,No direct equity successor is assumed
terminal_GMO_20201118,GMO,GMO,GMOLQ-202107,155750,bankruptcy_reorganization,2020-11-18,2021-07-06,GMO,bankruptcy distribution,Chapter 11 creditors,,bankruptcy_reorganization,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1275229/000165495420012741/gmo_8k.htm,2020-11-20,primary_sec,1,approved_stage2b_pilot,2026-09-05,Old equity distribution remains unresolved
terminal_ALTM_20250306,ALTM,ALTM,ALTM-202503,3463459,cash_acquisition,2025-03-06,2025-03-05,ALTM,cash,Rio Tinto,RIO,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1977303/000095010325003078/dp225911_8k.htm,2025-03-06,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash acquisition completed
terminal_BIOA_20181022,BIOA,BIOA,BIOAQ-201911,780768,bankruptcy_liquidation,2018-10-22,2019-11-21,BIOA,bankruptcy distribution,LCY Biotechnology,,bankruptcy_liquidation,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1534287/000119312518309191/d645901dex991.htm,2018-10-22,primary_sec,1,approved_stage2b_pilot,2026-09-05,Asset sale proceeds are not old equity value
terminal_AXLL_20160831,AXLL,AXLL,AXLL-201608,128621,cash_acquisition,2016-08-31,2016-08-30,AXLL,cash,Westlake Chemical,WLK,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1262823/000119312516697969/d249886dex991.htm,2016-08-31,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_SUM_20250211,SUM,SUM,SUM-202502,2005949,cash_acquisition,2025-02-11,2025-02-10,SUM,cash,Quikrete Holdings,,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1621563/000095010325001807/dp224739_8k.htm,2025-02-11,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_USCR_20210826,USCR,USCR,USCR-202108,521035,cash_acquisition,2021-08-26,2021-08-25,USCR,cash,Vulcan Materials,VMC,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1396009/000119312521257687/d208105d8k.htm,2021-08-26,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_MON_20180607,MON,MON,MON-201806,140727,cash_acquisition,2018-06-07,2018-06-06,MON,cash,Bayer AG,,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1110783/000119312518186836/d602943dex991.htm,2018-06-07,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_POT_20180101,POT,POT,POT-201712,147210,stock_merger,2018-01-01,2017-12-29,POT,NTR shares,Agrium,NTR,stock_merger,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1725964/000119312518000244/d513937dex995.htm,2018-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Nutrien predecessor conversion
terminal_AGU_20180101,AGU,AGU,AGU-201712,141024,stock_merger,2018-01-01,2017-12-29,AGU,NTR shares,PotashCorp,NTR,stock_merger,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1725964/000119312518000244/d513937dex995.htm,2018-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Nutrien predecessor conversion
ticker_RDUS_20230901,RDUS,SCHN,RDUS-202507,140985,ticker_change,2023-09-01,2023-08-31,SCHN,RDUS,Radius Recycling,RDUS,,0,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/912603/000115752323001375/a53546319ex99_1.htm,2023-08-24,primary_sec,1,approved_stage2b_pilot,2026-09-05,Historical provider lineage remains one security
ticker_B_20250509,B,GOLD,,,ticker_change,2025-05-09,2025-05-08,GOLD,B,Barrick Mining Corp,B,,0,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/756894/000119312525113917/d33942dex992.htm,2025-05-07,primary_sec,1,approved_stage2b_pilot,2026-09-05,Current Barrick canonical ticker is B
