"ticker","product_code","fda_manufacturer_id","product_family","mapping_confidence","mapping_method","source_reference","valid_from","valid_to","reviewed_at","active","notes"
"ABT","DQY","","structural_heart","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Structural-heart access and delivery system"
"ABT","NPS","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Transcatheter tricuspid repair system"
"ABT","NPT","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Transcatheter heart-valve product code"
"ABT","LWR","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Surgical aortic-valve product code"
"ABT","MLV","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Septal occluder product code"
"ABT","MAE","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Duct occluder and delivery system"
"ABT","LWQ","","structural_heart","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Mechanical heart-valve product code"
"ABT","NIK","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac resynchronization defibrillator"
"ABT","NVN","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable cardiac lead"
"ABT","NVY","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable cardiac lead"
"ABT","PNJ","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Leadless pacemaker delivery system"
"ABT","LWP","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable pacemaker"
"ABT","NVZ","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable pacemaker"
"ABT","DXY","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable pacemaker pulse generator"
"ABT","MXC","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Insertable cardiac monitor"
"ABT","NKE","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac resynchronization pacemaker"
"ABT","OSR","","cardiac_rhythm_management","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac-device programming base"
"ABT","LWS","","cardiac_rhythm_management","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable defibrillation lead"
"ABT","OJX","","cardiac_rhythm_management","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac resynchronization lead product code"
"ABT","LDF","","cardiac_rhythm_management","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Temporary pacemaker electrode"
"ABT","LGW","","neuromodulation_pain","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable neuromodulation generator"
"ABT","PMP","","neuromodulation_pain","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable neuromodulation lead"
"ABT","MHY","","neuromodulation_pain","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Implantable neuromodulation system"
"ABT","GZB","","neuromodulation_pain","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Neuromodulation trial and lead system"
"ABT","IKD","","neuromodulation_pain","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Radiofrequency pain-management generator accessory"
"ABT","GXD","","neuromodulation_pain","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Radiofrequency pain-management generator"
"ABT","OAE","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac ablation catheter"
"ABT","QZI","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Pulsed-field ablation catheter"
"ABT","DYB","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Electrophysiology mapping sheath"
"ABT","DRA","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Electrophysiology steerable sheath"
"ABT","DRF","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Electrophysiology diagnostic catheter"
"ABT","DRC","","electrophysiology_ablation","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Transseptal access needle"
"ABT","KRH","","electrophysiology_ablation","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Electrophysiology simulation and mapping system"
"ABT","DQX","","electrophysiology_ablation","95","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiovascular procedural accessory reported by Abbott electrophysiology operations"
"ABT","DQK","","vascular_intervention","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Intravascular ultrasound imaging system"
"ABT","MGB","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Vascular closure system"
"ABT","NIQ","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Coronary stent system"
"ABT","NIO","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Peripheral stent system"
"ABT","LOX","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Coronary dilatation catheter"
"ABT","NXW","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Resorbable peripheral vascular scaffold"
"ABT","NIV","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Coronary covered stent"
"ABT","NIM","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Carotid stent system"
"ABT","NIP","","vascular_intervention","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Peripheral endoprosthesis product code"
"ABT","NTE","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Embolic protection system"
"ABT","LIT","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Peripheral dilatation catheter"
"ABT","NIN","","vascular_intervention","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Peripheral stent system"
"ABT","OBJ","","vascular_intervention","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Intravascular ultrasound catheter"
"ABT","DTL","","cardiopulmonary_surgical_support","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardioplegia perfusion adapter"
"ABT","JJE","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Clinical chemistry analyzer"
"ABT","NIG","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Tumor-marker immunoassay"
"ABT","MZO","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Infectious-disease immunoassay"
"ABT","MAQ","","diagnostics_laboratory","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Molecular diagnostic assay"
"ABT","LIP","","diagnostics_laboratory","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Immunoassay diagnostic system"
"ABT","GKZ","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Hematology analyzer"
"ABT","CJY","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Clinical chemistry reagent"
"ABT","QEP","","diagnostics_laboratory","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Molecular diagnostic assay"
"ABT","OOI","","diagnostics_laboratory","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Molecular diagnostic assay"
"ABT","MMI","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Cardiac biomarker immunoassay"
"ABT","LOM","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Infectious-disease immunoassay"
"ABT","JQT","","diagnostics_laboratory","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Point-of-care diagnostic analyzer"
"ABT","MTD","","electrophysiology_ablation","99","manual_product_code_review","openfda_mdr_50099322_product_code_mtd_review_2026-08-11","2026-07-31","","2026-08-11","1","FDA MDR 50099322 identifies MTD as the Advisor HD Grid X Mapping Catheter, generic name Catheter, Intracardiac Mapping, High-Density Array, used during an epicardial ventricular-tachycardia mapping and ablation procedure."
