ticker,alias_raw,source,note,valid_from,reviewed_at,valid_to
MDLN,Medline Inc,public_parent,Medline public parent trades as MDLN,2026-06-26,2026-06-25,
MDLN,Medline Industries,operating_company,Medline public parent trades as MDLN,2026-06-26,2026-06-25,
MDLN,Medline Industries LP,operating_company,Medline public parent trades as MDLN,2026-06-26,2026-06-25,
PHG,Philips Healthcare,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Image Guided Therapy,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Medical Systems,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Medical Systems Nederland,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Medizin Systeme,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Medizin Systeme Boeblingen,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips North America,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Respironics,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Philips Ultrasound,operating_unit,Royal Philips healthcare operating unit,2026-06-26,2026-06-25,
PHG,Spectranetics,acquired_subsidiary,Acquired by Philips,2026-06-26,2026-06-25,
PHG,Volcano Corporation,acquired_subsidiary,Acquired by Philips,2015-02-17,2026-06-25,
PODD,Insulet Corporation,operating_unit,Insulet operating entity for Omnipod device records,2026-06-26,2026-06-25,
NVST,Nobel Biocare,operating_unit,Envista dental implant operating unit,2026-06-26,2026-06-25,
NVST,Ormco,operating_unit,Envista orthodontics operating unit,2026-06-26,2026-06-25,
NVST,Kerr,operating_unit,Envista dental operating unit,2026-06-26,2026-06-25,
OSUR,OraSure Technologies,operating_unit,OraSure operating entity for IVD records,2026-06-26,2026-06-25,
OWLT,Owlet Inc,operating_unit,Owlet operating entity for infant monitor records,2026-06-26,2026-06-25,
OWLT,Owlet Baby Care Inc,operating_unit,Owlet operating entity for infant monitor records,2026-06-26,2026-06-25,
PLSE,Pulse Biosciences Inc,operating_unit,Pulse Biosciences operating entity,2026-06-26,2026-06-25,
PRCT,PROCEPT BioRobotics Corporation,operating_unit,PROCEPT operating entity for Aquablation device records,2026-06-26,2026-06-25,
PROF,Profound Medical Inc,operating_unit,Profound Medical operating entity,2026-06-26,2026-06-25,
QDEL,Quidel Corporation,operating_unit,QuidelOrtho legacy operating entity,2026-06-26,2026-06-25,
QDEL,Ortho-Clinical Diagnostics,acquired_subsidiary,Ortho Clinical Diagnostics operating entity under QuidelOrtho,2022-05-27,2026-06-25,
RDNT,DeepHealth,operating_unit,RadNet AI software operating entity,2026-06-26,2026-06-25,
RVTY,PerkinElmer,legacy_operating_name,Revvity legacy PerkinElmer operating entity,2026-06-26,2026-06-25,
RVTY,Euroimmun,operating_unit,Revvity Euroimmun IVD operating entity,2026-06-26,2026-06-25,
SNWV,SANUWAVE Health Inc,operating_unit,SANUWAVE operating entity for FDA device records,2026-06-26,2026-06-25,
SOLV,3M Health Care,pre_spin_operating_unit,Solventum predecessor health care business,2024-04-01,2026-06-25,
STIM,Neuronetics Inc,operating_unit,Neuronetics operating entity for FDA device records,2026-06-26,2026-06-25,
TLSI,TriSalus Life Sciences Inc,operating_unit,TriSalus operating entity for FDA device records,2026-06-26,2026-06-25,
VCYT,Veracyte Inc,operating_unit,Veracyte operating entity for diagnostic records,2026-06-26,2026-06-25,
VMD,Viemed Healthcare Inc,operating_unit,Viemed operating entity for FDA device records,2026-06-26,2026-06-25,
VREX,Varex Imaging Corporation,operating_unit,Varex Imaging operating entity,2026-06-26,2026-06-25,
VTAK,Catheter Precision Inc,operating_unit,Catheter Precision operating entity for FDA device records,2026-06-26,2026-06-25,
WAT,Waters Technologies Corp,operating_unit,Waters operating entity for clinical instrument records,2026-06-26,2026-06-25,
WRBY,Warby Parker Inc,operating_unit,Warby Parker operating entity for ophthalmic records,2026-06-26,2026-06-25,
WRBY,JAND Inc,operating_unit,Warby Parker operating legal entity,2026-06-26,2026-06-25,
SYK,Mako Surgical,acquired_subsidiary,Acquired by Stryker,2013-12-17,2026-06-25,
SYK,Wright Medical,acquired_subsidiary,Acquired by Stryker,2020-11-11,2026-06-25,
TMO,Life Technologies,acquired_subsidiary,Acquired by Thermo Fisher Scientific,2014-02-03,2026-06-25,
ZBH,Biomet,merged_predecessor,Zimmer Biomet predecessor entity,2015-06-24,2026-06-25,
VCYT,NanoString Technologies,legacy_applicant,Legacy Prosigna 510(k) applicant retained for governed FDA event matching,2026-07-24,2026-08-11,
