metric_id,metric_pack,source_lane,component,applicability_tags,unit_contract,period_type,max_staleness_days,scoring_posture,comparison_population,bounds_policy,formula,discovery_status
aircraft_orderbook_commitments,air,DP,capital_risk,passenger_airline|cargo_airline|aircraft_lessor,count_and_currency,point_in_time,550,context,matching_firm_order_scope,nonnegative,,coverage_pending
vessel_count,marine,DP,growth,marine_operator,count,point_in_time,550,context,within_issuer_fleet_category,nonnegative_integer,,coverage_pending
fleet_capacity,marine,DP,growth,marine_operator,segment_native_capacity,point_in_time,550,context,matching_segment_and_unit,nonnegative,,coverage_pending
fleet_capacity_growth,marine,DP-D,growth,marine_operator,ratio,fiscal_period,550,context,within_issuer_matching_segment_and_unit,growth_ratio,current_capacity_divided_by_prior_capacity_minus_one,coverage_pending
tce_day_rate,marine,DP,operating_efficiency,marine_operator,currency_per_day,fiscal_period,550,positive,matching_segment_denominator_and_currency,nonnegative,,coverage_pending
spot_or_charter_day_rate,marine,DP,operating_efficiency,marine_operator,currency_per_day,fiscal_period,550,positive,matching_charter_type_segment_and_currency,nonnegative,,coverage_pending
fleet_utilization,marine,DP,operating_efficiency,marine_operator,ratio,fiscal_period,550,positive,matching_fleet_scope,ratio_0_1,,coverage_pending
charter_coverage_next_12m,marine,DP,quality,marine_operator,ratio,forward_12m,200,positive,matching_capacity_denominator,ratio_0_1,,coverage_pending
contracted_revenue_backlog,marine,DP,quality,marine_operator,currency,point_in_time,550,positive,matching_currency_and_contract_scope,nonnegative,,coverage_pending
weighted_average_charter_term,marine,DP,quality,marine_operator,years,point_in_time,550,context,matching_fleet_scope,years_0_100,,coverage_pending
fleet_age,marine,DP,capital_risk,marine_operator,years,point_in_time,550,negative,matching_owned_or_operated_scope,years_0_100,,coverage_pending
newbuild_capacity_commitments,marine,DP,capital_risk,marine_operator,count_and_segment_native_capacity,point_in_time,550,context,matching_segment_and_firm_scope,nonnegative,,coverage_pending
capex_commitments,marine,DP,capital_risk,marine_operator,currency,point_in_time,550,context,matching_currency_and_commitment_scope,nonnegative,,coverage_pending
vessel_opex_per_day,marine,DP,operating_efficiency,marine_operator,currency_per_day,fiscal_period,550,negative,matching_segment_denominator_and_currency,nonnegative,,coverage_pending
cash_breakeven_per_day,marine,DP,capital_risk,marine_operator,currency_per_day,point_in_time,550,negative,matching_cost_definition_segment_and_currency,nonnegative,,coverage_pending
offhire_or_drydock_ratio,marine,DP,operating_efficiency,marine_operator,ratio,fiscal_period,550,negative,matching_cause_and_fleet_scope,ratio_0_1,,coverage_pending
revenue_days,marine,DP,operating_efficiency,marine_operator,days,fiscal_period,550,context,matching_fleet_scope,nonnegative,,coverage_pending
spot_exposure_ratio,marine,DP,capital_risk,marine_operator,ratio,forward_or_fiscal_period,550,context,matching_horizon_and_capacity_denominator,ratio_0_1,,coverage_pending
going_concern_flag,development,DP,development_stage_risk,development_all,boolean,point_in_time,550,negative,development_stage_cohort,boolean,,coverage_pending
pre_revenue_flag,development,FIN-D,development_stage_risk,development_all,boolean,point_in_time,550,negative,development_stage_cohort,boolean,revenue_below_frozen_immateriality_threshold,coverage_pending
commercialization_stage,development,DP,growth,precommercial_transport,ordinal_0_5,point_in_time,550,positive,precommercial_transport,ordinal_0_5,,coverage_pending
regulatory_certification_stage,development,DP,growth,regulated_precommercial,ordinal_0_5,point_in_time,550,positive,matching_regulatory_program,ordinal_0_5,,coverage_pending
test_program_progress,development,DP,growth,precommercial_transport,ratio_or_count,fiscal_period,550,positive,matching_test_program_and_unit,nonnegative,,coverage_pending
binding_order_units,development,DP,growth,precommercial_transport|ramping,count,point_in_time,550,positive,matching_product_and_binding_scope,nonnegative_integer,,coverage_pending
binding_order_value,development,DP,growth,precommercial_transport|ramping,currency,point_in_time,550,positive,matching_currency_product_and_binding_scope,nonnegative,,coverage_pending
nonbinding_reservation_units,development,DP,growth,precommercial_transport|ramping,count,point_in_time,550,context,matching_product_and_nonbinding_scope,nonnegative_integer,,coverage_pending
customer_deposits,development,DP,quality,precommercial_transport|ramping,currency,point_in_time,550,positive,matching_currency_and_refundability_scope,nonnegative,,coverage_pending
units_produced,development,DP,growth,ramping,count,fiscal_period,550,positive,matching_product_and_unit_definition,nonnegative_integer,,coverage_pending
units_delivered,development,DP,growth,ramping,count,fiscal_period,550,positive,matching_product_and_acceptance_definition,nonnegative_integer,,coverage_pending
production_capacity,development,DP,growth,ramping,units_per_period,point_in_time,550,context,matching_product_period_and_demonstrated_scope,nonnegative,,coverage_pending
cash_runway_years,development,FIN-D,development_stage_risk,development_all,years,point_in_time,200,positive,development_stage_cohort,years_0_100,unrestricted_cash_divided_by_annualized_cash_burn,coverage_pending
quarterly_cash_burn,development,FIN-D,development_stage_risk,development_all,currency_per_quarter,fiscal_period,200,negative,matching_currency,nonnegative,max_zero_negative_free_cash_flow,coverage_pending
capital_raise_dependence,development,FIN-D,development_stage_risk,development_all,ratio,fiscal_period,550,negative,development_stage_cohort,ratio_0_10,external_capital_raised_divided_by_cash_use,coverage_pending
diluted_share_growth,development,FIN-D,development_stage_risk,development_all,ratio,fiscal_period,550,negative,matching_share_basis,growth_ratio,current_diluted_shares_divided_by_prior_diluted_shares_minus_one,coverage_pending
stock_compensation_to_revenue,development,FIN-D,development_stage_risk,development_all,ratio,fiscal_period,550,negative,development_stage_cohort,ratio_0_100,stock_compensation_divided_by_revenue,coverage_pending
milestone_slippage_days,development,DP-D,development_stage_risk,precommercial_transport,days,milestone,550,negative,matching_named_milestone,nonnegative,revised_target_date_minus_prior_target_date,coverage_pending
